,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"[0.018293600529432297, -0.1722378432750702, 0.2585947811603546]","[0.22932028770446777, 0.6451559066772461, 0.3438413143157959]","[0.21095789968967438, -0.535599410533905, 0.39710766077041626]","[-0.37912091612815857, -0.5203264355659485, -0.02873377688229084]","[-0.14815664291381836, -0.1814272403717041, -0.5025132894515991]","[-0.48185989260673523, 0.03170361742377281, 0.4901275336742401]","[0.1142301857471466, 0.08735951036214828, 0.024677487090229988]","[-0.49781060218811035, -0.040770065039396286, 0.48826858401298523]","[0.16133779287338257, -0.008331838063895702, -0.0803992748260498]","[0.03323952481150627, -0.4635459780693054, -0.1112063080072403]","[0.49636805057525635, -0.5767351984977722, 0.4775781035423279]","[-0.13968081772327423, -0.08904574811458588, -0.07275620847940445]","[0.5325643420219421, 0.2327718436717987, -0.25443264842033386]","[-0.032350752502679825, -0.019741203635931015, 0.19940954446792603]","[0.3855176568031311, 0.0012936375569552183, 0.21122702956199646]","[0.05464336648583412, -0.16005554795265198, -0.3986552655696869]","[0.2357863336801529, -0.010197493247687817, -0.16577869653701782]","[0.0013716609682887793, 0.24655728042125702, -0.3428095877170563]","[0.1925387680530548, 0.0850425511598587, 0.24421799182891846]","[-0.031971078366041183, 0.24400821328163147, -0.0015791401965543628]","[0.004068184178322554, -0.001561868702992797, 0.1972067654132843]","[0.025341227650642395, -0.03399593383073807, -0.36972370743751526]","[-0.40370848774909973, 0.0063412305898964405, -0.3709432780742645]","[0.38624733686447144, 0.17184370756149292, 0.4929630756378174]","[0.05923141911625862, 0.19535870850086212, 0.0463186614215374]","[-0.3716488480567932, -0.0885840430855751, -0.055825602263212204]","[0.4889794588088989, 0.2621040940284729, 0.10198882222175598]","[-0.0820406824350357, 0.030788429081439972, 0.2464158535003662]","[-0.16144710779190063, 0.0010365023044869304, -0.005024478770792484]","[-0.0004308909992687404, 0.00024058787676040083, 0.2751680314540863]","[-0.25097307562828064, 0.5002374053001404, -0.4515109658241272]","[0.008783516474068165, -6.268705328693613e-05, -0.03131137788295746]"
1,"[-0.0006377255194820464, -0.06488072872161865, 0.1315055638551712]","[0.24209631979465485, 0.7836747169494629, 0.21038591861724854]","[0.2684999704360962, -0.6455206274986267, 0.26234540343284607]","[-0.4125273525714874, -0.5864324569702148, -0.025451593101024628]","[-0.09508390724658966, -0.1490393429994583, -0.3523778021335602]","[-0.46781542897224426, 0.12784162163734436, 0.3506116271018982]","[0.04768378660082817, 0.09558382630348206, 0.016406439244747162]","[-0.36905235052108765, 0.003545907326042652, 0.33703017234802246]","[0.062185246497392654, -0.004404671955853701, -0.012518557719886303]","[0.03823006525635719, -0.37058016657829285, -0.02816932089626789]","[0.49256789684295654, -0.6232237219810486, 0.33743223547935486]","[-0.0609399788081646, -0.07197705656290054, -0.010228149592876434]","[0.3905889391899109, 0.17370492219924927, -0.1292569786310196]","[-0.015712464228272438, -0.008497081696987152, 0.08488088101148605]","[0.24818135797977448, 0.005739737767726183, 0.09366706013679504]","[0.02125350385904312, -0.06847642362117767, -0.25375810265541077]","[0.11455430090427399, -0.002113931579515338, -0.06036347895860672]","[-0.0013384814374148846, 0.1260901242494583, -0.2038659155368805]","[0.08335379511117935, 0.014844214543700218, 0.1203102394938469]","[-0.0021584071218967438, 0.14160089194774628, -0.0005367817357182503]","[-4.034958237753017e-06, -7.610935426782817e-06, 0.08302928507328033]","[0.009335663169622421, -0.018625376746058464, -0.2278832048177719]","[-0.26205235719680786, -0.013834417797625065, -0.2290058135986328]","[0.24827328324317932, 0.09141669422388077, 0.3429223895072937]","[0.007467448711395264, 0.08745552599430084, 0.0019516629399731755]","[-0.22993256151676178, -0.048543695360422134, -0.004424293991178274]","[0.3366510272026062, 0.15127278864383698, 0.022804569453001022]","[-0.013807812705636024, -0.0018125077476724982, 0.12157171964645386]","[-0.05696859210729599, -0.0015213040169328451, 8.280695328721777e-05]","[-2.3696287826169282e-05, 2.4251337890746072e-05, 0.14530065655708313]","[-0.13030892610549927, 0.3534546196460724, -0.302981436252594]","[-0.00029562058625742793, -7.04813573975116e-05, 0.00015758057998027653]"
2,"[2.4414664949290454e-05, -0.017526162788271904, 0.05595158785581589]","[0.2384309321641922, 0.9055042862892151, 0.12048148363828659]","[0.349424809217453, -0.7284554243087769, 0.1901983618736267]","[-0.4553968012332916, -0.6675209999084473, -0.04558422416448593]","[-0.06410043686628342, -0.09508083015680313, -0.23249435424804688]","[-0.5123602151870728, 0.25640538334846497, 0.2497161626815796]","[0.043895695358514786, 0.10257355868816376, 0.010199352167546749]","[-0.27140235900878906, 0.025750314816832542, 0.21948087215423584]","[0.019938640296459198, -0.0001953600294655189, -0.0005101686110720038]","[0.03640381991863251, -0.26340311765670776, -0.0036035003140568733]","[0.524660050868988, -0.6896215081214905, 0.25259459018707275]","[-0.025423938408493996, -0.051142867654561996, -0.000480317889014259]","[0.2779253125190735, 0.1377660185098648, -0.05551772564649582]","[-0.007110064849257469, -0.004215987399220467, 0.028031306341290474]","[0.14688827097415924, 0.0028158994391560555, 0.03244892880320549]","[0.006207719910889864, -0.02357752062380314, -0.14840847253799438]","[0.0471588671207428, 0.0008834284381009638, -0.015443372540175915]","[0.0007916261092759669, 0.05208156257867813, -0.10833312571048737]","[0.030151067301630974, -0.0011317544849589467, 0.0489160530269146]","[0.002369451569393277, 0.06086794286966324, -2.878810846596025e-05]","[-8.142203569150297e-07, 2.5695151180116227e-06, 0.0266624316573143]","[0.021684402599930763, -0.03712876886129379, -0.12712620198726654]","[-0.16055506467819214, -0.010052789933979511, -0.12816281616687775]","[0.15011970698833466, 0.04738359898328781, 0.2252245396375656]","[0.0028287130407989025, 0.03183621168136597, -8.318615437019616e-05]","[-0.12790946662425995, -0.027651771903038025, -1.6880092516657896e-05]","[0.21667586266994476, 0.08283074200153351, 0.002695246133953333]","[-0.0010075359605252743, -0.0005099846166558564, 0.04949118196964264]","[-0.014103938825428486, -0.0010193597991019487, 1.113868347601965e-05]","[3.675618813758774e-07, 7.166695468185935e-07, 0.06527180969715118]","[-0.06091810390353203, 0.2355436235666275, -0.1898639053106308]","[-5.467694791150279e-06, -5.031696218793513e-06, 4.062663720105775e-06]"
3,"[-5.016102591071103e-07, -0.003262867219746113, 0.019602544605731964]","[0.2579684257507324, 1.0654957294464111, 0.03304494544863701]","[0.42194876074790955, -0.8227634429931641, 0.18307504057884216]","[-0.5358349084854126, -0.8137222528457642, -0.04209934547543526]","[-0.04938594251871109, -0.05905764177441597, -0.14330774545669556]","[-0.5668384432792664, 0.43165192008018494, 0.169836163520813]","[0.08687593787908554, 0.19131872057914734, 0.007934249937534332]","[-0.17637138068675995, 0.011940700933337212, 0.13368965685367584]","[0.003973955754190683, 0.0004479861818253994, 2.031890289799776e-05]","[0.010281356051564217, -0.17085595428943634, -1.4230721717467532e-05]","[0.5862231850624084, -0.805327296257019, 0.24072574079036713]","[-0.014392193406820297, -0.032229263335466385, -5.702431371901184e-05]","[0.19209334254264832, 0.13455812633037567, -0.019786985591053963]","[-0.0029014432802796364, -0.0021750887390226126, 0.0074355509132146835]","[0.0745355486869812, 0.006838357541710138, 0.008631923235952854]","[0.0016495082527399063, -0.007187972776591778, -0.07912435382604599]","[0.01514557097107172, 0.0011004724074155092, -0.0026506721042096615]","[0.0011458665831014514, 0.017192985862493515, -0.050863899290561676]","[0.0073937587440013885, 1.0070188181998674e-05, 0.01613440364599228]","[0.0029721215832978487, 0.019735073670744896, -4.647753939934773e-06]","[6.206453804225021e-07, -7.965093828943282e-08, 0.006359351333230734]","[0.12042468786239624, -0.23365534842014313, -0.0629219338297844]","[-0.08967873454093933, -0.018614361062645912, -0.0644969791173935]","[0.08224593102931976, 0.027717409655451775, 0.13878534734249115]","[0.001601704047061503, 0.010119953192770481, 2.8890503926959354e-06]","[-0.06332068890333176, -0.017640693113207817, -1.3401393516687676e-05]","[0.130281463265419, 0.052244868129491806, 0.00018059035937767476]","[-2.029071947617922e-05, -2.744268385868054e-05, 0.016342991963028908]","[-0.0020349244587123394, -0.00021251110592857003, -1.8901539533544565e-06]","[6.499984692709404e-07, -2.834945860286098e-07, 0.024582399055361748]","[-0.021862445399165154, 0.14803597331047058, -0.11030396074056625]","[1.337593289463257e-06, 6.605997668884811e-07, 7.630635536770569e-07]"
4,"[-2.3802792625815528e-08, -0.00039623508928343654, 0.005610801745206118]","[0.2481522113084793, 1.2768902778625488, -0.02372417040169239]","[0.5518444180488586, -0.9804767966270447, 0.19452598690986633]","[-0.6426641345024109, -1.0160359144210815, -0.03524577245116234]","[-0.041618362069129944, -0.03312017396092415, -0.08225847780704498]","[-0.6911921501159668, 0.6828196048736572, 0.12165194749832153]","[0.22468975186347961, 0.42935365438461304, 0.004474399145692587]","[-0.11174905300140381, 0.012301133945584297, 0.07585280388593674]","[0.0007798161823302507, -0.00015111526590771973, 3.533669996613753e-06]","[0.0018188755493611097, -0.10483075678348541, 0.00011955491208937019]","[0.718329668045044, -1.0188604593276978, 0.31119924783706665]","[-0.0056423405185341835, -0.02064395323395729, 2.2966221422393573e-06]","[0.13345566391944885, 0.1358749270439148, -0.005835210904479027]","[-0.0023639709688723087, -0.004019743297249079, 0.0018123072804883122]","[0.033779699355363846, 0.0011239275336265564, 0.0017228680662810802]","[0.0007425926742143929, -0.002629221649840474, -0.03816675394773483]","[0.004222589544951916, -0.0003227517881896347, -0.00028514134464785457]","[-0.0003639459318947047, 0.004662659484893084, -0.020987551659345627]","[0.0014990972122177482, -3.773250136873685e-05, 0.0042763445526361465]","[0.0005092912469990551, 0.004988955799490213, 1.1116561893231847e-07]","[-1.3013269040129671e-07, 3.453491217442206e-06, 0.001098779495805502]","[0.40794607996940613, -0.6309486627578735, -4.635244113160297e-05]","[-0.04648616909980774, -0.004125588107854128, -0.02899780124425888]","[0.04150905832648277, 0.014395209960639477, 0.07980790734291077]","[0.0006358049577102065, 0.0030488648917526007, 1.7454632939006842e-07]","[-0.027787255123257637, -0.009738609194755554, -9.418308763997629e-07]","[0.07395373284816742, 0.0366196483373642, 1.0268557161907665e-05]","[6.353438948281109e-07, 7.852597150304064e-07, 0.004337725229561329]","[-0.00016921534552238882, -1.9670587789732963e-05, 2.2688912793000782e-07]","[5.549318871089781e-07, -1.3615290299640037e-06, 0.007709200028330088]","[-0.008065910078585148, 0.08912263065576553, -0.05909089371562004]","[-1.444242236914306e-08, 2.7101532396045513e-07, -2.455461753925192e-07]"
5,"[6.306101751896165e-10, -2.7597985535976477e-05, 0.0013009407557547092]","[0.1990775316953659, 1.5811516046524048, -0.07580281794071198]","[0.7619960904121399, -1.2214564085006714, 0.19953642785549164]","[-0.7666135430335999, -1.3144371509552002, 0.09663448482751846]","[-0.03446265310049057, -0.015222353860735893, -0.04391653090715408]","[-0.9076643586158752, 1.0051395893096924, 0.07125906646251678]","[0.4363155663013458, 0.8335878252983093, -0.057813212275505066]","[-0.06664125621318817, 0.026696469634771347, 0.03995327651500702]","[0.00013513049634639174, -1.2700242223218083e-05, 7.00858436175622e-07]","[0.0034797212574630976, -0.06212206184864044, 1.6122157830977812e-05]","[0.9700210094451904, -1.3500210046768188, 0.48047423362731934]","[-0.0034131852444261312, -0.011062707751989365, -2.4220971681643277e-06]","[0.09897002577781677, 0.176315039396286, -0.001485994434915483]","[-0.03803357481956482, -0.08583997935056686, 0.0005936868255957961]","[0.01323353685438633, -0.0015136192087084055, 0.0002512607607059181]","[0.0004181319964118302, -0.0014864997938275337, -0.016584385186433792]","[0.001002772944048047, -7.233084761537611e-05, -1.587789120094385e-05]","[-7.487795664928854e-05, 0.0010656274389475584, -0.00759316049516201]","[0.00023320190666709095, -2.0363842850201763e-05, 0.0009006287436932325]","[-1.3198204214859288e-05, 0.0009828448528423905, -1.1723556569975813e-09]","[2.7768578547693323e-06, -9.902086048896308e-07, 0.00013031315756961703]","[0.776531457901001, -1.0625077486038208, 0.19759726524353027]","[-0.021322960034012794, -0.003257239703088999, -0.011628232896327972]","[0.018453756347298622, 0.006560517009347677, 0.042727455496788025]","[0.00022170536976773292, 0.0010936467442661524, -1.5643094286588166e-07]","[-0.010948531329631805, -0.005852877162396908, 3.469997693628102e-07]","[0.04111675173044205, 0.031080853193998337, -3.0543390039383667e-06]","[-6.323282453202239e-10, 9.283179736030434e-08, 0.0009148687240667641]","[-4.825330506719183e-06, -6.935561600585061e-07, 1.4697904227034542e-08]","[-2.561086830610293e-06, -1.7249433312827023e-06, 0.002001550979912281]","[-0.004622551612555981, 0.05349341779947281, -0.029119720682501793]","[6.65186448145505e-08, -6.026808136994077e-07, -8.110681903872319e-08]"
6,"[4.4681779109989606e-11, -6.802889629398123e-07, 0.00024080679577309638]","[0.0963018462061882, 1.9507681131362915, -0.1577940136194229]","[1.077562928199768, -1.5389275550842285, 0.09760771691799164]","[-0.9054701924324036, -1.6661795377731323, 0.35168689489364624]","[-0.04492015019059181, -0.0011977034155279398, -0.02171422727406025]","[-1.2414048910140991, 1.382514476776123, 0.030812421813607216]","[0.6948940753936768, 1.2893184423446655, -0.2861640751361847]","[-0.04253094643354416, 0.05161525681614876, 0.01953967846930027]","[2.8407281206455082e-05, -8.068546776485164e-06, 6.830175891536783e-08]","[0.004655451513826847, -0.032986320555210114, -2.992335623730469e-07]","[1.338821291923523, -1.7643601894378662, 0.6280744671821594]","[-0.0028324441518634558, -0.007219485938549042, 3.045694256798015e-07]","[0.0864655002951622, 0.2885468006134033, -0.0007972736493684351]","[-0.2884438931941986, -0.6129509210586548, 0.009512769989669323]","[0.004661160986870527, -0.0023331770207732916, 2.5120827558566816e-05]","[0.0003791189519688487, -0.0008885756251402199, -0.006495628971606493]","[0.00022291633649729192, -3.069726153626107e-05, -1.0840440154424869e-06]","[-3.0200695618987083e-05, 0.00017940846737474203, -0.0024025465827435255]","[3.166392707498744e-05, -3.4427919217705494e-06, 0.00014741119230166078]","[-1.1334844202792738e-05, 0.00012888252967968583, 8.891434845281765e-06]","[-7.532074232585728e-05, 0.00022102092043496668, 9.76704995991895e-06]","[1.2110439538955688, -1.520534634590149, 0.5338267087936401]","[-0.009021757170557976, -0.0022787863854318857, -0.004149698186665773]","[0.007537351455539465, 0.003190580988302827, 0.0212700217962265]","[7.699655543547124e-05, 0.0004890717100352049, 3.8043438621571113e-07]","[-0.0038931979797780514, -0.0034593651071190834, -4.0314810689778824e-07]","[0.02381090819835663, 0.026311539113521576, -3.4745846733130747e-06]","[5.676577430335783e-08, 2.63630823837957e-07, 0.00015038363926578313]","[8.830831887962631e-08, 3.169340345721139e-07, 2.842826347659866e-07]","[1.3054374221610487e-06, 7.749142127977393e-07, 0.0004264147428330034]","[-0.003870729124173522, 0.03157232701778412, -0.013186797499656677]","[9.500763553660363e-07, -1.553085553496203e-06, 1.1141937648062594e-06]"
7,"[1.3247593126652912e-12, 2.3920952330058753e-08, 3.472566822892986e-05]","[0.03456588834524155, 2.3447816371917725, -0.31001412868499756]","[1.4122852087020874, -1.83328378200531, -0.0032679077703505754]","[-1.0214719772338867, -2.052645683288574, 0.6673500537872314]","[-0.1468248963356018, 0.01855318620800972, -0.00965852476656437]","[-1.5897612571716309, 1.7464181184768677, -0.031800221651792526]","[0.9206640720367432, 1.7512842416763306, -0.5690165162086487]","[-0.052694838494062424, 0.12812776863574982, 0.00898070726543665]","[1.6274610970867798e-05, 8.078665700850252e-07, 1.9076114767813124e-06]","[0.009506233036518097, -0.0169051643460989, -2.772311518128845e-06]","[1.7133979797363281, -2.162222146987915, 0.7126859426498413]","[-0.0028396453708410263, -0.006654040422290564, 5.051821858614858e-07]","[0.10118730366230011, 0.599348783493042, -0.005360038951039314]","[-0.5538056492805481, -1.1520076990127563, 0.13361459970474243]","[0.002047718735411763, -0.002134299371391535, 7.249965960909321e-07]","[0.00032544959685765207, -0.000869709241669625, -0.0022743521258234978]","[6.057558493921533e-05, -2.007143621085561e-06, -1.0896915227931459e-06]","[3.807570294611651e-07, 2.4166689399862662e-05, -0.000661984202452004]","[5.571706878981786e-06, -1.932244458657806e-06, 1.642559982428793e-05]","[-6.785344339732546e-06, 1.2715073353319895e-05, -4.987959528079955e-06]","[-0.07491741329431534, 0.21460062265396118, -0.00022902374621480703]","[1.630910873413086, -1.954548954963684, 0.8176378607749939]","[-0.003883692668750882, -0.0015509353252127767, -0.0013144677504897118]","[0.0031758304685354233, 0.001825123792514205, 0.009837575256824493]","[4.976492346031591e-05, 0.0003355668450240046, 3.3890081851950526e-08]","[-0.0013475795276463032, -0.0027043756563216448, -2.980974329602759e-07]","[0.015581830404698849, 0.02248743176460266, -2.9792304303555284e-06]","[1.3776144669463974e-07, 3.4906733503703435e-07, 1.858762880146969e-05]","[1.7900048021601833e-07, 3.0445681886703824e-07, 3.21776582268285e-07]","[1.7375529068885953e-06, 6.112368282629177e-07, 7.324669422814623e-05]","[-0.003693351289257407, 0.019600309431552887, -0.005481057800352573]","[1.643926736960566e-07, 3.4177188013018167e-07, 2.1802985372687544e-07]"
8,"[3.268427398845329e-14, 4.976116185773094e-10, 3.7450724903465016e-06]","[-0.018860014155507088, 2.7255563735961914, -0.4420442581176758]","[1.7304201126098633, -2.1134040355682373, -0.13591168820858002]","[-1.059960126876831, -2.426846981048584, 0.96002197265625]","[-0.5134260058403015, 0.08467578142881393, 0.011782298795878887]","[-1.9007384777069092, 2.0943973064422607, -0.13363325595855713]","[1.0823460817337036, 2.18617844581604, -0.8185465931892395]","[-0.14997512102127075, 0.3150678277015686, 0.005557996220886707]","[1.0896579624386504e-05, -1.7427645389034296e-06, 7.086443787329699e-08]","[0.024928636848926544, -0.0093794334679842, -3.097306262134225e-06]","[2.049537181854248, -2.525479316711426, 0.8571399450302124]","[-0.012509802356362343, -0.02077621780335903, 2.1431048935482977e-06]","[0.06924715638160706, 1.0629956722259521, -0.04251018539071083]","[-0.7700210213661194, -1.6491129398345947, 0.3678765594959259]","[0.0011917076772078872, -0.001491500181145966, -2.3134166582394755e-08]","[0.0009211407159455121, -0.0011839561630040407, -0.0007069974672049284]","[1.6238182070082985e-05, -8.556323223274376e-07, -1.1638168473382393e-07]","[-6.592246108994004e-07, 1.9356259599589976e-06, -0.000158092996571213]","[2.0901950392726576e-06, 8.409723473157271e-10, 1.4377206980498158e-06]","[-1.425931031917571e-06, 1.5505100918744574e-06, -2.50276866609056e-06]","[-0.19556693732738495, 0.7147961854934692, -0.05986041575670242]","[2.0034286975860596, -2.34883975982666, 1.0540151596069336]","[-0.0019010051619261503, -0.0015897860284894705, -0.0003680311783682555]","[0.001578825293108821, 0.0015437600668519735, 0.004224060568958521]","[-8.13912174635334e-06, 0.00031558191403746605, 8.183978934539482e-07]","[-0.000381763355107978, -0.0030828751623630524, -1.5107585227269738e-07]","[0.011580511927604675, 0.01944890432059765, -1.7263658946831129e-06]","[7.696077091168263e-07, 3.791089966398431e-06, 1.585634322509577e-06]","[-1.0588294685476285e-08, -3.950921154682874e-07, -2.2423601819809846e-07]","[-2.199701754079797e-07, -9.648960030972376e-07, 9.53481412580004e-06]","[-0.004045497160404921, 0.012437148950994015, -0.00208838633261621]","[1.2292920814616082e-07, 2.141681534340023e-07, 1.654635042314112e-07]"
9,"[1.0414333613962667e-15, -4.049646035175769e-11, 2.801667164931132e-07]","[-0.07161430269479752, 3.087311029434204, -0.5410691499710083]","[2.041898488998413, -2.3522064685821533, -0.28898635506629944]","[-0.9968844652175903, -2.774507999420166, 1.2168513536453247]","[-0.9320831894874573, 0.2781335413455963, 0.1770251840353012]","[-2.195463180541992, 2.420989513397217, -0.2507579028606415]","[1.159205675125122, 2.5785257816314697, -0.9872644543647766]","[-0.3643897473812103, 0.6442432403564453, 0.030217163264751434]","[5.297016741678817e-06, -3.8849435668453225e-07, 6.447137366194511e-07]","[0.17607596516609192, -0.021872585639357567, -0.0007969200960360467]","[2.374755859375, -2.8544158935546875, 1.0031310319900513]","[-0.06989412754774094, -0.10681663453578949, 0.0004324797773733735]","[-0.07314272969961166, 1.549657940864563, -0.1173839122056961]","[-0.9045594930648804, -2.0766444206237793, 0.5623732209205627]","[0.0007184520363807678, -0.0005773557350039482, 3.006098836522142e-07]","[0.0035507131833583117, -0.004430458415299654, -0.00018645531963557005]","[2.8017057047691196e-06, -1.616618192201713e-06, -6.864721626698156e-07]","[2.6184756052316516e-07, -1.6028752725105733e-07, -3.270827801316045e-05]","[5.0370704229862895e-06, -7.728796269645954e-09, 4.792522076968453e-07]","[-2.8632953217311297e-06, 7.205741781035613e-07, -1.5372091866083792e-06]","[-0.37524858117103577, 1.1148252487182617, -0.2689914405345917]","[2.3575990200042725, -2.696617841720581, 1.2504819631576538]","[-0.0009899822762236, -0.0009418791742064059, -9.073816909221932e-05]","[0.0009954528650268912, 0.0013128967257216573, 0.001680633518844843]","[-2.1234240193734877e-05, 0.000374832859961316, 4.667080304443516e-07]","[0.0002768298436421901, -0.0065531604923307896, -3.075272161368048e-07]","[0.009254771284759045, 0.016700947657227516, -1.0593354318189085e-06]","[3.027191723958822e-06, 1.670576057222206e-05, 6.393580065378046e-08]","[-1.253869612583003e-07, 2.8427373877093487e-07, 2.466269677370292e-07]","[6.655438937741565e-07, 4.112031604108779e-07, 1.2926818726555211e-06]","[-0.004204541444778442, 0.008849898353219032, -0.0007274815579876304]","[1.4247473245632136e-07, 6.192934876025902e-08, 6.021081588869492e-08]"
